Epoch,Batch,MSE,PSNR,SSIM
26,13,0.0565,12.5133,0.8117
26,14,0.0465,13.3218,nan
26,15,0.0493,13.1884,0.8483
26,16,0.0636,12.5451,0.7339
26,17,0.0577,13.1947,0.8824
26,18,0.0566,12.8793,0.7490
26,19,0.0560,12.6931,0.7833
26,20,0.0518,12.9239,0.7778
26,21,0.0584,12.8843,0.7450
26,22,0.0486,13.2714,0.8034
26,23,0.0394,14.1403,0.8314
26,24,0.0430,13.9624,0.7429
26,25,0.0320,14.9180,0.9178
27,1,0.0444,14.0207,0.8759
27,2,0.0717,11.9209,0.8008
27,3,0.0488,13.4811,0.8727
27,4,0.0487,13.2787,0.8716
27,5,0.0450,13.5477,0.7671
27,6,0.0448,13.3984,0.8323
27,7,0.0487,13.2905,0.8063
27,8,0.0492,13.2744,0.7737
27,9,0.0431,13.7149,0.7826
27,10,0.0445,13.8587,0.7485
27,11,0.0418,13.8762,0.8690
27,12,0.0427,13.7761,0.8389
27,13,0.0497,13.2233,0.8249
27,14,0.0503,13.5610,0.7430
27,15,0.0444,13.7051,0.8146
27,16,0.0578,13.5101,0.8586
27,17,0.0409,14.1432,0.7984
27,18,0.0438,14.2821,0.7940
27,19,0.0470,13.4895,0.7766
27,20,0.0421,13.6931,0.8382
27,21,0.0362,14.5232,0.8275
27,22,0.0468,13.4873,0.8338
27,23,0.0305,15.1331,0.9064
27,24,0.0447,13.8534,0.8388
27,25,0.0591,12.9378,0.8860
28,1,0.0500,13.5834,0.8091
28,2,0.0516,14.1855,0.8275
28,3,0.0459,13.7632,0.8571
28,4,0.0546,12.9285,0.8386
28,5,0.0497,13.2090,0.7057
28,6,0.0432,13.7788,0.8379
28,7,0.0519,12.9651,0.7694
28,8,0.0440,13.6450,0.9066
28,9,0.0401,14.0257,0.8553
28,10,0.0403,14.2788,0.8895
28,11,0.0605,12.8581,0.7664
28,12,0.0473,13.4477,0.8518
28,13,0.0424,14.0014,0.8081
28,14,0.0452,14.0229,0.7689
28,15,0.0613,12.5490,0.6829
28,16,0.0522,13.0043,0.8707
28,17,0.0514,13.5480,0.8170
28,18,0.0589,12.5274,0.7813
28,19,0.0541,12.9414,0.8289
28,20,0.0510,13.7113,0.7435
28,21,0.0586,12.7995,0.8120
28,22,0.0451,13.9163,0.7188
28,23,0.0463,13.6878,0.7133
28,24,0.0585,13.1892,0.7247
28,25,0.0382,14.1417,0.7457
29,1,0.0461,13.5382,0.7816
29,2,0.0651,12.7706,0.6849
29,3,0.0570,12.8946,0.8382
29,4,0.0412,13.8641,0.8104
29,5,0.0422,13.6591,0.8046
29,6,0.0373,14.5218,0.7613
29,7,0.0495,13.3513,0.7355
29,8,0.0582,13.0310,nan
29,9,0.0684,12.8662,0.7294
29,10,0.0308,15.0689,0.9059
29,11,0.0447,13.9032,0.7728
29,12,0.0597,12.6297,0.8536
29,13,0.0349,14.7127,0.8073
29,14,0.0384,14.2946,0.8146
29,15,0.0368,14.3480,0.8250
29,16,0.0463,13.6096,0.7917
29,17,0.0465,13.3599,0.8433
29,18,0.0432,13.7759,0.8027
29,19,0.0539,13.1868,0.7851
29,20,0.0519,13.3725,nan
29,21,0.0336,14.6990,0.9027
29,22,0.0515,13.7252,0.7803
29,23,0.0596,13.0783,0.7600
29,24,0.0417,14.1115,0.8047
29,25,0.0444,13.7675,0.8302
30,1,0.0438,13.8847,0.8040
30,2,0.0642,12.7388,0.7688
30,3,0.0494,13.4936,nan
30,4,0.0457,13.3920,0.7967
30,5,0.0437,13.8181,0.7999
30,6,0.0509,12.9118,0.7819
